iso3,country,year,region,income,population,gdp_pc_ppp,fertility,life_exp,u5_mort,urban_pct
AFG,Afghanistan,2022,"Middle East, North Africa, Afghanistan & Pakistan",Low income,40578842,1981.71016810561,4.932,65.617,56.8,25.3939250580909
ALB,Albania,2022,Europe & Central Asia,Upper middle income,2451636,19388.7927279351,1.355,78.769,9.4,57.8643477747383
DZA,Algeria,2022,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,45477389,14782.2002970247,2.817,76.129,22.3,74.1795862354514
AND,Andorra,2022,Europe & Central Asia,High income,79705,63913.3835079105,1.071,84.016,2.7,88.7548766267286
AGO,Angola,2022,Sub-Saharan Africa,Lower middle income,35635029,8750.99363032299,5.209,64.246,51.9,69.0506188977513
ATG,Antigua and Barbuda,2022,Latin America & Caribbean,High income,92840,27785.5572316838,1.58,77.483,9.6,24.5114484000414
ARG,Argentina,2022,Latin America & Caribbean,Upper middle income,45407904,27825.0273492567,1.482,75.806,9.9,92.112838186126
ARM,Armenia,2022,Europe & Central Asia,Upper middle income,2969200,17886.1783877168,1.7,74.7658536585366,10.5,65.5624462874485
AUS,Australia,2022,East Asia & Pacific,High income,26018721,60029.1329190733,1.63,83.2,3.7,87.3343268253813
AUT,Austria,2022,Europe & Central Asia,High income,9041851,65694.4591501468,1.41,81.2951219512195,3.3,68.998085127906
AZE,Azerbaijan,2022,Europe & Central Asia,Upper middle income,10141756,21051.2442291612,1.67,74.125,19.6,58.4382815854684
BHS,"Bahamas, The",2022,Latin America & Caribbean,High income,397538,34342.9285316569,1.379,74.491,12.9,81.3200717047725
BHR,Bahrain,2022,"Middle East, North Africa, Afghanistan & Pakistan",High income,1524693,57572.997981018,1.839,80.992,8.4,100
BGD,Bangladesh,2022,South Asia,Lower middle income,169384897,7888.16389098304,2.179,74.265,30.7,31.673734726234
BRB,Barbados,2022,Latin America & Caribbean,High income,282318,20494.5343836936,1.712,75.676,10.4,59.3538514107686
BLR,Belarus,2022,Europe & Central Asia,Upper middle income,9228071,26537.5083081674,1.326,74.1033658536585,2.6,78.4732787892908
BEL,Belgium,2022,Europe & Central Asia,High income,11680210,62602.9270469765,1.53,81.7487804878049,3.8,87.489200269855
BLZ,Belize,2022,Latin America & Caribbean,Upper middle income,402733,12565.3645829576,1.949,72.19,12.8,42.1373251262137
BEN,Benin,2022,Sub-Saharan Africa,Lower middle income,13759501,3588.32519938147,4.634,60.475,79.6,50.9627000010887
BTN,Bhutan,2022,South Asia,Lower middle income,780914,14061.3120274588,1.478,72.754,19,40.9365143617581
BOL,Bolivia,2022,Latin America & Caribbean,Lower middle income,12077154,11487.7148799194,2.584,67.434,17.3,70.6352598708131
BIH,Bosnia and Herzegovina,2022,Europe & Central Asia,Upper middle income,3204802,19298.117076437,1.481,76.777,6.2,51.0215287060993
BWA,Botswana,2022,Sub-Saharan Africa,Upper middle income,2439892,18647.3734588832,2.785,68.749,35.7,66.5889787170477
BRA,Brazil,2022,Latin America & Caribbean,Upper middle income,210306415,18554.0461828566,1.629,74.872,14.6,87.349556243881
BRN,Brunei Darussalam,2022,East Asia & Pacific,High income,455370,76357.829114996,1.764,72.917,10.2,74.7772642014221
BGR,Bulgaria,2022,Europe & Central Asia,High income,6465097,32433.6587569626,1.78,74.1609756097561,6.1,73.4799164005224
BFA,Burkina Faso,2022,Sub-Saharan Africa,Low income,22509038,2469.19956941259,4.275,60.7,79.8,27.2791369742712
BDI,Burundi,2022,Sub-Saharan Africa,Low income,13321097,1028.11134640179,4.98,62.882,50.3,22.3202446002597
CPV,Cabo Verde,2022,Sub-Saharan Africa,Upper middle income,519741,8850.1066918812,1.533,75.907,12.1,75.033738060849
KHM,Cambodia,2022,East Asia & Pacific,Lower middle income,17201724,6458.3681488084,2.616,70.528,19.9,40.374616187368
CMR,Cameroon,2022,Sub-Saharan Africa,Lower middle income,27632771,4843.65038202917,4.397,62.443,69.4,54.8458745688318
CAN,Canada,2022,North America,High income,38950132,58583.1299860138,1.34,81.0948780487805,5.3,82.3500897353968
CAF,Central African Republic,2022,Sub-Saharan Africa,Low income,5098039,1136.80171107045,6.023,18.818,424.6,43.2751967457285
TCD,Chad,2022,Sub-Saharan Africa,Low income,18455316,2449.48251052296,6.215,54.528,103.9,25.7635558629694
CHL,Chile,2022,Latin America & Caribbean,High income,19553036,29560.4513805785,1.255,79.176,6.8,88.6395352768685
CHN,China,2022,East Asia & Pacific,Upper middle income,1412175000,21499.3125559757,1.034,78.202,6.6,65.2176361083984
COL,Colombia,2022,Latin America & Caribbean,Upper middle income,51737944,18458.7209460704,1.663,76.508,12.3,78.0464633137335
COM,Comoros,2022,Sub-Saharan Africa,Lower middle income,834188,3465.8402271705,3.935,66.481,41.4,32.7746035528748
COD,"Congo, Dem. Rep.",2022,Sub-Saharan Africa,Low income,102396968,1484.33841881449,6.106,60.979,92.5,44.003287663813
COG,"Congo, Rep.",2022,Sub-Saharan Africa,Lower middle income,6035104,6205.1050414034,4.215,65,41.5,63.6422003342807
CRI,Costa Rica,2022,Latin America & Caribbean,High income,5081765,25290.0087466975,1.335,79.316,9.9,78.4405687613972
CIV,Cote d'Ivoire,2022,Sub-Saharan Africa,Lower middle income,30395002,6272.26395760029,4.349,61.562,68.7,52.8492549676673
HRV,Croatia,2022,Europe & Central Asia,High income,3855641,39863.9109377649,1.53,77.5756097560976,4.6,56.9977571733605
CYP,Cyprus,2022,Europe & Central Asia,High income,1331370,50840.9140625,1.393,80.434,4.1,66.6694829407584
CZE,Czechia,2022,Europe & Central Asia,High income,10672118,48390.661678675,1.64,78.9292682926829,2.7,72.6967638379524
DNK,Denmark,2022,Europe & Central Asia,High income,5903037,69089.4692492289,1.55,81.3048780487805,3.8,88.3880239837703
