kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_sma,koi_incl,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,koi_smet,koi_kepmag,koi_srho
K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,0.818,4304.3,13.04,1339.0,761.46,0.0354,84.41,0.123871,5820.0,4.457,0.964,0.971,-0.06,11.338,1.83538
K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,0.224,5945.9,16.1,2048.0,4148.92,0.0376,87.21,0.075522,6440.0,4.019,1.952,1.449,0.14,10.463,0.37936
K00003.01,CONFIRMED,4.887803076,2.36255,4315.8,0.054,862.3,4.82,800.0,96.67,0.053,89.82,0.057823,4778.0,4.591,0.763,0.83,0.32,9.174,3.69348
K00004.01,CONFIRMED,3.849371737,2.632,1298.6,0.915,132.7,12.94,2034.0,4055.29,0.0548,80.61,0.039601,6244.0,3.657,2.992,1.482,-0.16,11.432,0.22463
K00007.01,CONFIRMED,3.213668926,3.98235,727.8,0.021,346.9,4.13,1515.0,1244.44,0.044,89.81,0.02447,5795.0,4.101,1.545,1.097,0.18,12.211,0.46728
K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,0.631,1741.5,14.59,1521.0,1264.67,0.0473,85.2,0.092086,6225.0,4.169,1.451,1.132,-0.04,13.563,0.65374
K00012.01,CONFIRMED,17.855221681,7.41287,9065.2,0.075,915.7,13.16,911.0,163.04,0.1491,89.79,0.08815,6823.0,4.308,1.367,1.386,0.07,11.353,0.47367
K00013.01,CONFIRMED,1.763587535,3.16877,4590.6,0.512,4061.9,21.42,3559.0,37958.27,0.0386,82.71,0.064717,9107.0,3.867,3.031,2.466,0.07,9.958,0.4004
K00017.01,CONFIRMED,3.234699282,3.59385,10558.7,0.079,3003.8,13.06,1356.0,797.62,0.0435,89.4,0.092633,5640.0,4.236,1.291,1.047,0.34,13.303,0.76885
K00018.01,CONFIRMED,3.548465446,4.56904,7251.5,0.075,2486.5,14.92,1640.0,1708.28,0.05,89.33,0.078272,6290.0,4.074,1.746,1.319,0.04,13.369,0.3962
K00020.01,CONFIRMED,4.437962934,4.69813,16387.6,0.069,3535.6,18.05,1338.0,757.65,0.0545,89.51,0.116814,5953.0,4.175,1.415,1.093,0.08,13.438,0.50482
K00022.01,CONFIRMED,7.891448838,4.2854,10344.6,0.306,1955.1,12.63,1028.0,263.54,0.0813,88.81,0.093464,5972.0,4.313,1.237,1.148,0.24,13.435,0.98147
K00041.01,CONFIRMED,12.81590421,6.3856,220.5,0.58,106.7,2.26,939.0,183.68,0.109,87.4,0.014067,5788.0,4.122,1.474,1.05,0.1,11.197,0.23998
K00041.02,CONFIRMED,6.88707073,4.4679,68.7,0.696,38.2,1.3,1155.0,420.97,0.072,85.37,0.008082,5788.0,4.122,1.474,1.05,0.1,11.197,0.25585
K00041.03,CONFIRMED,35.3331932,5.966,99.7,0.656,28.8,1.55,670.0,47.52,0.2143,88.92,0.009621,5788.0,4.122,1.474,1.05,0.1,11.197,0.63393
K00042.01,CONFIRMED,17.83367834,4.5112,326.9,0.013,154.5,2.43,866.0,132.94,0.1424,89.97,0.016638,6407.0,4.268,1.337,1.208,0.0,9.364,1.72198
K00046.01,CONFIRMED,3.487688776,3.83661,1298.8,0.026,350.6,5.64,1445.0,1033.07,0.0461,89.79,0.032422,5576.0,4.065,1.593,1.074,0.3,13.77,0.57862
K00046.02,CONFIRMED,6.02977241,3.961,54.6,0.379,11.5,1.18,1204.0,496.46,0.0665,88.0,0.006767,5576.0,4.065,1.593,1.074,0.3,13.77,0.66776
K00049.01,CONFIRMED,8.31377304,2.964,837.4,0.002,19.6,2.74,886.0,145.51,0.0821,89.99,0.026357,5900.0,4.509,0.951,1.065,0.07,13.704,2.91336
K00063.01,CONFIRMED,9.43414171,2.8112,3977.0,0.538,40.2,5.73,791.0,92.39,0.0858,88.68,0.059248,5578.0,4.518,0.886,0.943,0.04,11.582,2.725
K00069.01,CONFIRMED,4.72674037,2.9267,273.1,0.657,287.8,1.56,1028.0,264.08,0.0525,86.08,0.015943,5648.0,4.472,0.894,0.866,-0.2,9.931,0.74833
K00070.01,CONFIRMED,10.854095934,3.7768,1034.4,0.422,252.8,2.99,765.0,80.88,0.0919,88.83,0.029604,5465.0,4.449,0.925,0.876,0.02,12.498,1.41039
K00070.02,CONFIRMED,3.696121272,2.463,383.4,0.016,130.0,1.78,1095.0,340.33,0.0448,89.92,0.017627,5465.0,4.449,0.925,0.876,0.02,12.498,2.20611
K00070.03,CONFIRMED,77.6114427,7.1786,814.5,0.094,100.5,2.59,397.0,5.87,0.3411,89.94,0.02568,5465.0,4.449,0.925,0.876,0.02,12.498,1.88554
K00070.04,CONFIRMED,6.09855603,2.9815,84.4,0.21,24.8,0.84,927.0,174.3,0.0626,89.22,0.008309,5465.0,4.449,0.925,0.876,0.02,12.498,1.86534
